"DOTA_Tooltip_ability_example_item"	"example_item"
"DOTA_Tooltip_ability_fan_of_crow"	"fan_of_crow"
"DOTA_Tooltip_ability_thd_base_class"	"thd_base_class"
"DOTA_Tooltip_ability_cake"	"cake"
"DOTA_Tooltip_ability_bread"	"bread"
"DOTA_Tooltip_ability_drink"	"drink"
"DOTA_Tooltip_ability_wine"	"wine"
"DOTA_Tooltip_ability_besom"	"besom"
"DOTA_Tooltip_ability_talisman_of_tengu"	"talisman_of_tengu"
"DOTA_Tooltip_ability_zun_hat"	"zun_hat"
"DOTA_Tooltip_ability_bird"	"bird"
"DOTA_Tooltip_ability_glue"	"glue"
"DOTA_Tooltip_ability_candle"	"candle"
"DOTA_Tooltip_ability_green_tea"	"green_tea"
"DOTA_Tooltip_ability_red_tea"	"red_tea"
"DOTA_Tooltip_ability_ticket"	"ticket"
"DOTA_Tooltip_ability_raven"	"raven"
"DOTA_Tooltip_ability_cucumber"	"cucumber"
"DOTA_Tooltip_ability_mushroom"	"mushroom"
"DOTA_Tooltip_ability_ice_block"	"ice_block"
"DOTA_Tooltip_ability_cherry_branch"	"cherry_branch"
"DOTA_Tooltip_ability_cherry_leaf"	"cherry_leaf"
"DOTA_Tooltip_ability_paper_mask"	"paper_mask"
"DOTA_Tooltip_ability_catnip"	"catnip"
"DOTA_Tooltip_ability_cat_ear"	"cat_ear"
"DOTA_Tooltip_ability_cat_foot"	"cat_foot"
"DOTA_Tooltip_ability_cookbook"	"cookbook"
"DOTA_Tooltip_ability_magic_guide_book"	"magic_guide_book"
"DOTA_Tooltip_ability_rocket_diagram"	"rocket_diagram"
"DOTA_Tooltip_ability_knife"	"knife"
"DOTA_Tooltip_ability_scissors"	"scissors"
"DOTA_Tooltip_ability_hammer"	"hammer"
"DOTA_Tooltip_ability_screw_driver"	"screw_driver"
"DOTA_Tooltip_ability_stool"	"stool"
"DOTA_Tooltip_ability_silver_knife"	"silver_knife"
"DOTA_Tooltip_ability_aunt_clothes"	"aunt_clothes"
"DOTA_Tooltip_ability_sailor_suit"	"sailor_suit"
"DOTA_Tooltip_ability_swimming_suit"	"swimming_suit"
"DOTA_Tooltip_ability_pant"	"pant"
"DOTA_Tooltip_ability_hunting_cap"	"hunting_cap"
"DOTA_Tooltip_ability_bra"	"bra"
"DOTA_Tooltip_ability_god_hand"	"god_hand"
"DOTA_Tooltip_ability_tengu_fan"	"tengu_fan"
"DOTA_Tooltip_ability_gran_grimoire"	"gran_grimoire"
"DOTA_Tooltip_ability_hexie"	"hexie"
"DOTA_Tooltip_ability_recipe_camera"	"recipe_camera"
"DOTA_Tooltip_ability_camera"	"camera"
"DOTA_Tooltip_ability_recipe_mushroom_kebab"	"recipe_mushroom_kebab"
"DOTA_Tooltip_ability_mushroom_kebab"	"mushroom_kebab"
"DOTA_Tooltip_ability_recipe_mushroom_pie"	"recipe_mushroom_pie"
"DOTA_Tooltip_ability_mushroom_pie"	"mushroom_pie"
"DOTA_Tooltip_ability_recipe_mushroom_soup"	"recipe_mushroom_soup"
"DOTA_Tooltip_ability_mushroom_soup"	"mushroom_soup"
"DOTA_Tooltip_ability_recipe_wind_gun"	"recipe_wind_gun"
"DOTA_Tooltip_ability_wind_gun"	"wind_gun"
"DOTA_Tooltip_ability_recipe_luna_chip\"	"recipe_luna_chip\"
"DOTA_Tooltip_ability_luna_chip"	"luna_chip"
"DOTA_Tooltip_ability_frog"	"frog"
"DOTA_Tooltip_ability_recipe_donation_box"	"recipe_donation_box"
"DOTA_Tooltip_ability_donation_box"	"donation_box"
"DOTA_Tooltip_ability_recipe_donation_gem"	"recipe_donation_gem"
"DOTA_Tooltip_ability_donation_gem"	"donation_gem"
"DOTA_Tooltip_ability_recipe_watermelon"	"recipe_watermelon"
"DOTA_Tooltip_ability_watermelon"	"watermelon"
"DOTA_Tooltip_ability_recipe_cirno_claymore"	"recipe_cirno_claymore"
"DOTA_Tooltip_ability_cirno_claymore"	"cirno_claymore"
"DOTA_Tooltip_ability_recipe_smash_stick"	"recipe_smash_stick"
"DOTA_Tooltip_ability_smash_stick"	"smash_stick"
"DOTA_Tooltip_ability_recipe_rocket"	"recipe_rocket"
"DOTA_Tooltip_ability_recipe_dagon_2"	"recipe_dagon_2"
"DOTA_Tooltip_ability_recipe_dagon_3"	"recipe_dagon_3"
"DOTA_Tooltip_ability_recipe_dagon_4"	"recipe_dagon_4"
"DOTA_Tooltip_ability_recipe_dagon_5"	"recipe_dagon_5"
"DOTA_Tooltip_ability_rocket"	"rocket"
"DOTA_Tooltip_ability_recipe_teeth"	"recipe_teeth"
"DOTA_Tooltip_ability_teeth"	"teeth"
"DOTA_Tooltip_ability_recipe_horse_red"	"recipe_horse_red"
"DOTA_Tooltip_ability_horse_red"	"horse_red"
"DOTA_Tooltip_ability_recipe_horse_green"	"recipe_horse_green"
"DOTA_Tooltip_ability_horse_green"	"horse_green"
"DOTA_Tooltip_ability_recipe_horse_blue"	"recipe_horse_blue"
"DOTA_Tooltip_ability_horse_blue"	"horse_blue"
"DOTA_Tooltip_ability_recipe_horse_king"	"recipe_horse_king"
"DOTA_Tooltip_ability_horse_king"	"horse_king"
"DOTA_Tooltip_ability_recipe_9ball"	"recipe_9ball"
"DOTA_Tooltip_ability_9ball"	"9ball"
"DOTA_Tooltip_ability_recipe_ghost_balloon"	"recipe_ghost_balloon"
"DOTA_Tooltip_ability_ghost_balloon"	"ghost_balloon"
"DOTA_Tooltip_ability_recipe_fox_mask"	"recipe_fox_mask"
"DOTA_Tooltip_ability_fox_mask"	"fox_mask"
"DOTA_Tooltip_ability_9ball"	item_fox_mask
"DOTA_Tooltip_ability_recipe_ghost_balloon"	
"DOTA_Tooltip_ability_ghost_balloon"	
"DOTA_Tooltip_ability_recipe_fox_mask"	
"DOTA_Tooltip_ability_fox_mask"	
